group,label,n,seed,rel_error,signed_error,clamped,result,exact
accumulation,fp32 sequential,256,0,1.459621e-07,-1.459621e-07,0,10.919816970825195,10.919818564704507
accumulation,fp32 reversed,256,0,2.870646e-08,2.870646e-08,0,10.919818878173828,10.919818564704507
accumulation,fp32 pairwise,256,0,2.870646e-08,2.870646e-08,0,10.919818878173828,10.919818564704507
accumulation,fp32 blocked,256,0,4.952991e-07,-4.952991e-07,0,10.919813156127930,10.919818564704507
accumulation,fp16 sequential,256,0,5.196417e-03,5.196417e-03,0,10.976562500000000,10.919818564704507
accumulation,fp16 reversed,256,0,3.388890e-03,-3.388890e-03,0,10.882812500000000,10.919818564704507
accumulation,fp16 pairwise,256,0,1.619206e-03,1.619206e-03,0,10.937500000000000,10.919818564704507
accumulation,fp16 blocked,256,0,1.976927e-03,1.976927e-03,0,10.941406250000000,10.919818564704507
accumulation,bf16 sequential,256,0,1.878982e-02,1.878982e-02,0,11.125000000000000,10.919818564704507
accumulation,bf16 reversed,256,0,9.827871e-03,-9.827871e-03,0,10.812500000000000,10.919818564704507
accumulation,bf16 pairwise,256,0,1.619206e-03,1.619206e-03,0,10.937500000000000,10.919818564704507
accumulation,bf16 blocked,256,0,1.197420e-02,-1.197420e-02,0,10.789062500000000,10.919818564704507
cast+accumulation,bf16 in / fp32 sequential,256,0,7.135443e-03,-7.135443e-03,0,10.841900825500488,10.919818564704507
cast+accumulation,bf16 in / fp32 pairwise,256,0,7.135181e-03,-7.135181e-03,0,10.841903686523438,10.919818564704507
cast+accumulation,bf16 in / fp16 sequential,256,0,9.112428e-03,-9.112428e-03,0,10.820312500000000,10.919818564704507
cast+accumulation,bf16 in / fp16 pairwise,256,0,8.396986e-03,-8.396986e-03,0,10.828125000000000,10.919818564704507
cast+accumulation,bf16 in / bf16 sequential,256,0,2.127495e-02,-2.127495e-02,0,10.687500000000000,10.919818564704507
cast+accumulation,bf16 in / bf16 pairwise,256,0,1.619206e-03,1.619206e-03,0,10.937500000000000,10.919818564704507
scaling,e4m3 none,256,0,1.150405e-02,1.150405e-02,0,11.045440673828125,10.919818564704507
scaling,e4m3 per-tensor,256,0,5.780501e-02,5.780501e-02,0,11.551038742065430,10.919818564704507
scaling,e4m3 mx32 spec,256,0,3.327188e-02,-3.327188e-02,5,10.556495666503906,10.919818564704507
scaling,e4m3 mx32 +1,256,0,1.162212e-02,1.162212e-02,0,11.046730041503906,10.919818564704507
scaling,e2m1 none,256,0,8.855292e-01,-8.855292e-01,10,1.2500000000000000,10.919818564704507
scaling,e2m1 per-tensor,256,0,7.123582e-01,7.123582e-01,0,18.698640823364258,10.919818564704507
scaling,e2m1 mx32 spec,256,0,4.308846e-01,4.308846e-01,11,15.625000000000000,10.919818564704507
scaling,e2m1 mx32 +1,256,0,1.480777e+00,-1.480777e+00,0,-5.2500000000000000,10.919818564704507
rounding,e2m1 mx32 nearest,256,0,4.308846e-01,4.308846e-01,11,15.625000000000000,10.919818564704507
rounding,e2m1 mx32 stochastic,256,0,5.764582e-01,-5.764582e-01,11,4.6250000000000000,10.919818564704507
accumulation,fp32 sequential,256,1,1.910839e-07,-1.910839e-07,0,-94.062904357910160,-94.062886384010180
accumulation,fp32 reversed,256,1,6.200112e-07,6.200112e-07,0,-94.062828063964840,-94.062886384010180
accumulation,fp32 pairwise,256,1,2.886485e-08,-2.886485e-08,0,-94.062889099121100,-94.062886384010180
accumulation,fp32 blocked,256,1,5.224466e-08,5.224466e-08,0,-94.062881469726560,-94.062886384010180
accumulation,fp16 sequential,256,1,2.661904e-03,2.661904e-03,0,-93.812500000000000,-94.062886384010180
accumulation,fp16 reversed,256,1,1.324790e-03,-1.324790e-03,0,-94.187500000000000,-94.062886384010180
accumulation,fp16 pairwise,256,1,1.333006e-03,1.333006e-03,0,-93.937500000000000,-94.062886384010180
accumulation,fp16 blocked,256,1,3.471701e-03,3.471701e-03,0,-93.736328125000000,-94.062886384010180
accumulation,bf16 sequential,256,1,9.962629e-03,-9.962629e-03,0,-95.000000000000000,-94.062886384010180
accumulation,bf16 reversed,256,1,3.256211e-02,3.256211e-02,0,-91.000000000000000,-94.062886384010180
accumulation,bf16 pairwise,256,1,9.962629e-03,-9.962629e-03,0,-95.000000000000000,-94.062886384010180
accumulation,bf16 blocked,256,1,1.378321e-02,-1.378321e-02,0,-95.359375000000000,-94.062886384010180
cast+accumulation,bf16 in / fp32 sequential,256,1,3.760532e-03,3.760532e-03,0,-93.709159851074220,-94.062886384010180
cast+accumulation,bf16 in / fp32 pairwise,256,1,3.760614e-03,3.760614e-03,0,-93.709152221679690,-94.062886384010180
cast+accumulation,bf16 in / fp16 sequential,256,1,5.984150e-03,5.984150e-03,0,-93.500000000000000,-94.062886384010180
cast+accumulation,bf16 in / fp16 pairwise,256,1,3.990802e-03,3.990802e-03,0,-93.687500000000000,-94.062886384010180
cast+accumulation,bf16 in / bf16 sequential,256,1,9.962629e-03,-9.962629e-03,0,-95.000000000000000,-94.062886384010180
cast+accumulation,bf16 in / bf16 pairwise,256,1,6.685568e-04,6.685568e-04,0,-94.000000000000000,-94.062886384010180
scaling,e4m3 none,256,1,5.905659e-02,-5.905659e-02,0,-99.617919921875000,-94.062886384010180
scaling,e4m3 per-tensor,256,1,2.773959e-02,2.773959e-02,0,-91.453620910644530,-94.062886384010180
scaling,e4m3 mx32 spec,256,1,2.431707e-02,-2.431707e-02,4,-96.350219726562500,-94.062886384010180
scaling,e4m3 mx32 +1,256,1,5.903453e-02,-5.903453e-02,0,-99.615844726562500,-94.062886384010180
scaling,e2m1 none,256,1,1.760831e-01,1.760831e-01,7,-77.500000000000000,-94.062886384010180
scaling,e2m1 per-tensor,256,1,1.688640e-01,1.688640e-01,0,-78.179054260253900,-94.062886384010180
scaling,e2m1 mx32 spec,256,1,5.975934e-03,-5.975934e-03,6,-94.625000000000000,-94.062886384010180
scaling,e2m1 mx32 +1,256,1,2.059381e-02,-2.059381e-02,0,-96.000000000000000,-94.062886384010180
rounding,e2m1 mx32 nearest,256,1,5.975934e-03,-5.975934e-03,6,-94.625000000000000,-94.062886384010180
rounding,e2m1 mx32 stochastic,256,1,9.900702e-02,9.900702e-02,6,-84.750000000000000,-94.062886384010180
accumulation,fp32 sequential,256,2,1.901306e-07,-1.901306e-07,0,-65.438034057617190,-65.438021615846170
accumulation,fp32 reversed,256,2,1.596383e-07,1.596383e-07,0,-65.438011169433600,-65.438021615846170
accumulation,fp32 pairwise,256,2,4.304864e-08,4.304864e-08,0,-65.438018798828120,-65.438021615846170
accumulation,fp32 blocked,256,2,7.354098e-08,-7.354098e-08,0,-65.438026428222660,-65.438021615846170
accumulation,fp16 sequential,256,2,7.971143e-06,7.971143e-06,0,-65.437500000000000,-65.438021615846170
accumulation,fp16 reversed,256,2,1.918176e-03,1.918176e-03,0,-65.312500000000000,-65.438021615846170
accumulation,fp16 pairwise,256,2,7.971143e-06,7.971143e-06,0,-65.437500000000000,-65.438021615846170
accumulation,fp16 blocked,256,2,7.187015e-04,7.187015e-04,0,-65.390991210937500,-65.438021615846170
accumulation,bf16 sequential,256,2,6.693687e-03,6.693687e-03,0,-65.000000000000000,-65.438021615846170
accumulation,bf16 reversed,256,2,1.433450e-02,1.433450e-02,0,-64.500000000000000,-65.438021615846170
accumulation,bf16 pairwise,256,2,8.587949e-03,-8.587949e-03,0,-66.000000000000000,-65.438021615846170
accumulation,bf16 blocked,256,2,5.394326e-03,-5.394326e-03,0,-65.791015625000000,-65.438021615846170
cast+accumulation,bf16 in / fp32 sequential,256,2,9.352389e-04,-9.352389e-04,0,-65.499221801757810,-65.438021615846170
cast+accumulation,bf16 in / fp32 pairwise,256,2,9.353555e-04,-9.353555e-04,0,-65.499229431152340,-65.438021615846170
cast+accumulation,bf16 in / fp16 sequential,256,2,7.971143e-06,7.971143e-06,0,-65.437500000000000,-65.438021615846170
cast+accumulation,bf16 in / fp16 pairwise,256,2,9.471311e-04,-9.471311e-04,0,-65.500000000000000,-65.438021615846170
