group              policy                            n=256       n=1024       n=4096   clamped/pair@4096
accumulation       fp32 sequential               1.901e-07    4.836e-07    1.057e-06   0.0
accumulation       fp32 reversed                 2.405e-07    4.897e-07    1.057e-06   0.0
accumulation       fp32 pairwise                 6.799e-08    8.484e-08    1.069e-07   0.0
accumulation       fp32 blocked                  1.075e-07    1.232e-07    1.987e-07   0.0
accumulation       fp16 sequential               1.887e-03    3.998e-03    7.451e-03   0.0
accumulation       fp16 reversed                 1.462e-03    3.488e-03    7.179e-03   0.0
accumulation       fp16 pairwise                 5.942e-04    8.615e-04    7.879e-04   0.0
accumulation       fp16 blocked                  6.232e-04    8.911e-04    6.945e-04   0.0
accumulation       bf16 sequential               1.365e-02    3.165e-02    4.989e-02   0.0
accumulation       bf16 reversed                 1.166e-02    3.666e-02    5.912e-02   0.0
accumulation       bf16 pairwise                 4.988e-03    6.574e-03    5.885e-03   0.0
accumulation       bf16 blocked                  5.587e-03    7.664e-03    6.972e-03   0.0
cast+accumulation  bf16 in / fp32 sequential     1.744e-03    2.378e-03    2.123e-03   0.0
cast+accumulation  bf16 in / fp32 pairwise       1.744e-03    2.378e-03    2.124e-03   0.0
cast+accumulation  bf16 in / fp16 sequential     3.016e-03    5.700e-03    7.439e-03   0.0
cast+accumulation  bf16 in / fp16 pairwise       2.047e-03    2.589e-03    2.298e-03   0.0
cast+accumulation  bf16 in / bf16 sequential     1.608e-02    3.073e-02    4.732e-02   0.0
cast+accumulation  bf16 in / bf16 pairwise       5.146e-03    6.620e-03    6.710e-03   0.0
scaling            e4m3 none                     3.335e-02    4.014e-02    3.816e-02   0.0
scaling            e4m3 per-tensor               2.909e-02    3.542e-02    3.623e-02   0.2
scaling            e4m3 mx32 spec                3.927e-02    5.182e-02    4.820e-02   57.3
scaling            e4m3 mx32 +1                  3.322e-02    4.013e-02    3.828e-02   0.0
scaling            e2m1 none                     3.458e-01    4.509e-01    4.733e-01   138.3
scaling            e2m1 per-tensor               2.358e-01    3.572e-01    4.098e-01   0.1
scaling            e2m1 mx32 spec                1.533e-01    2.023e-01    1.970e-01   143.2
scaling            e2m1 mx32 +1                  2.558e-01    3.488e-01    2.952e-01   0.0
rounding           e2m1 mx32 nearest             1.533e-01    2.023e-01    1.970e-01   143.2
rounding           e2m1 mx32 stochastic          2.362e-01    2.825e-01    3.264e-01   143.2
