policy,seed,steps,diverged,train_loss,val_loss,mean_cos,mean_gain,mean_rel,seconds
fp8-mx,1,446,true,9.358153,2.494643,0.96823135,0.886630,2.346090e-01,9.5
fp8-mx-headroom,1,700,false,2.640429,2.338196,0.99207114,0.991819,1.237674e-01,14.3
fp8,1,700,false,2.639426,2.340709,0.99082577,0.991750,1.344001e-01,14.3
mxfp4,1,700,false,2.698966,2.504679,0.67408154,0.409969,7.449761e-01,14.7
fp8-mx,2,453,true,9.303883,2.514647,0.96943655,0.894447,2.228189e-01,9.5
fp8-mx-headroom,2,700,false,2.351536,2.330743,0.99307746,0.990455,1.171129e-01,14.3
fp8,2,700,false,2.359592,2.333742,0.99101098,0.992981,1.336333e-01,14.5
mxfp4,2,700,false,2.578375,2.505980,0.68619876,0.434914,7.321042e-01,14.7
fp8-mx,3,497,true,11.851576,2.530745,0.97238791,0.895861,2.088415e-01,10.4
fp8-mx-headroom,3,700,false,2.210231,2.337207,0.99430346,0.993886,1.065210e-01,13.6
fp8,3,700,false,2.224468,2.339226,0.99177522,0.992780,1.286187e-01,13.7
mxfp4,3,700,false,2.354991,2.511817,0.75604426,0.509685,6.477546e-01,14.0
