policy,seed,steps,diverged,train_loss,val_loss,mean_cos,mean_gain,mean_rel,seconds
fp32,1,2000,false,2.265436,2.110431,1.00000000,1.000000,2.893827e-07,58.9
bf16,1,2000,false,2.259935,2.111859,0.99976582,1.000113,1.939331e-02,63.6
fp8,1,2000,false,2.258095,2.125704,0.98691441,0.979347,1.600680e-01,65.1
fp8-mx,1,446,true,9.358153,2.494643,0.97882179,0.896028,2.151950e-01,9.9
fp8-mx-headroom,1,2000,false,2.285372,2.116322,0.99089301,0.994299,1.330466e-01,63.0
fp8-mx-precise-probs,1,439,true,9.554830,2.492254,0.96937600,0.902894,2.244899e-01,9.7
fp8-mx-precise-scores,1,441,true,9.680842,2.493608,0.97064100,0.908457,2.234614e-01,9.7
mxfp4,1,2000,false,2.513345,2.437167,0.60704760,0.394727,8.071545e-01,63.0
mxfp4-headroom,1,79,true,10.217455,NaN,0.53850788,0.483303,7.612039e-01,2.2
mxfp4-sr-bwd,1,143,true,9.515691,NaN,0.78462802,0.425909,6.376625e-01,3.1
mxfp4-precise-probs,1,2000,false,2.500637,2.387735,0.61809847,0.413156,7.958296e-01,69.8
mxfp4-precise-attn,1,2000,false,2.629495,2.451029,0.58787488,0.372320,8.192912e-01,82.6
fp32,2,2000,false,1.925833,2.120311,1.00000000,1.000000,3.115411e-07,66.4
bf16,2,2000,false,1.915165,2.120701,0.99973655,0.999622,2.025524e-02,81.8
fp8,2,2000,false,1.972870,2.129659,0.98751383,0.991580,1.570012e-01,159.0
fp8-mx,2,453,true,9.303883,2.514647,0.95216988,0.875766,2.444597e-01,30.4
fp8-mx-headroom,2,2000,false,1.951187,2.123608,0.98998216,0.989171,1.399982e-01,157.4
fp8-mx-precise-probs,2,449,true,9.650248,2.516724,0.97598894,0.908998,2.119367e-01,30.5
fp8-mx-precise-scores,2,447,true,10.839210,2.515876,0.98085289,0.920207,2.007782e-01,35.1
mxfp4,2,2000,false,2.100172,2.387574,0.66486144,0.429717,7.462642e-01,151.6
mxfp4-headroom,2,69,true,9.578189,NaN,0.79386998,0.751096,5.737027e-01,6.5
mxfp4-sr-bwd,2,161,true,13.381620,NaN,0.65301980,0.376089,7.474604e-01,11.1
mxfp4-precise-probs,2,2000,false,2.097827,2.414220,0.68045707,0.451092,7.304504e-01,140.7
mxfp4-precise-attn,2,2000,false,2.136447,2.320088,0.72574431,0.537848,6.963912e-01,139.5
fp32,3,2000,false,2.042436,2.116459,1.00000000,1.000000,2.931051e-07,133.5
bf16,3,2000,false,2.051086,2.114183,0.99977661,0.999522,1.788450e-02,138.6
fp8,3,2000,false,2.049555,2.126570,0.98868780,0.989188,1.486905e-01,141.9
fp8-mx,3,497,true,11.851576,2.530745,0.98178688,0.906427,1.899778e-01,71.7
fp8-mx-headroom,3,2000,false,2.042847,2.115184,0.99148132,0.989370,1.279165e-01,79.1
fp8-mx-precise-probs,3,484,true,11.063396,2.530140,0.98400227,0.911595,1.794127e-01,14.1
fp8-mx-precise-scores,3,484,true,10.104998,2.533184,0.97219300,0.888639,2.003388e-01,13.4
mxfp4,3,2000,false,2.303111,2.601333,0.60270454,0.366889,7.875129e-01,50.3
mxfp4-headroom,3,79,true,15.205733,NaN,0.69326895,0.583613,6.845892e-01,2.3
mxfp4-sr-bwd,3,165,true,11.579655,NaN,0.78581153,0.491215,6.168357e-01,4.7
mxfp4-precise-probs,3,2000,false,2.227319,2.377591,0.63398783,0.409879,7.615620e-01,48.8
mxfp4-precise-attn,3,2000,false,2.203159,2.362854,0.63550823,0.431588,7.750728e-01,47.9
