policy,seed,steps,diverged,train_loss,val_loss,mean_cos,mean_gain,mean_rel,seconds
fp32,4,1000,false,3.090672,2.471194,1.00000000,1.000000,1.557206e-06,288.1
acc-fp16,4,1000,false,3.157636,2.467674,0.99991022,0.999890,1.281473e-02,15340.8
acc-fp16-pairwise,4,1000,false,3.213456,2.478072,0.99999796,1.000013,1.975981e-03,15391.9
acc-bf16,4,1000,false,3.243108,2.464688,0.99458712,0.994305,9.999598e-02,15413.7
acc-bf16-pairwise,4,1000,false,3.065026,2.490404,0.99987526,0.999801,1.552725e-02,15520.1
acc-bf16-blocked,4,1000,false,3.054331,2.475831,0.99982993,1.000026,1.821062e-02,15422.3
fp32,5,1000,false,3.176906,2.431548,1.00000000,1.000000,1.634525e-06,326.7
acc-fp16,5,1000,false,3.265418,2.440289,0.99990732,0.999864,1.288187e-02,15112.3
acc-fp16-pairwise,5,1000,false,3.198990,2.450466,0.99999798,1.000011,1.955506e-03,806.3
acc-bf16,5,1000,false,3.106681,2.447690,0.99450151,0.993836,1.001165e-01,828.2
acc-bf16-pairwise,5,1000,false,3.079737,2.456232,0.99987414,1.000110,1.549878e-02,942.5
acc-bf16-blocked,5,1000,false,3.197167,2.458412,0.99982673,1.000146,1.837429e-02,837.6
fp32,6,1000,false,2.123109,2.489130,1.00000000,1.000000,1.656110e-06,193.0
acc-fp16,6,1000,false,2.172222,2.483248,0.99989876,1.000026,1.361032e-02,756.9
acc-fp16-pairwise,6,1000,false,2.081833,2.456799,0.99999793,0.999960,1.992325e-03,803.6
acc-bf16,6,1000,false,2.108936,2.467498,0.99423948,0.996109,1.036739e-01,806.2
acc-bf16-pairwise,6,1000,false,2.142039,2.469693,0.99986355,0.999735,1.609591e-02,907.7
acc-bf16-blocked,6,1000,false,2.229755,2.494758,0.99983033,1.000093,1.816296e-02,810.0
fp32,7,1000,false,2.649411,2.446830,1.00000000,1.000000,1.594385e-06,193.3
acc-fp16,7,1000,false,2.638161,2.464370,0.99991085,0.999822,1.286223e-02,724.9
acc-fp16-pairwise,7,1000,false,2.677693,2.480937,0.99999796,1.000003,1.970539e-03,764.9
acc-bf16,7,1000,false,2.732351,2.430477,0.99464910,0.994859,1.000916e-01,786.6
acc-bf16-pairwise,7,1000,false,2.625293,2.447222,0.99987504,0.999897,1.545048e-02,914.9
acc-bf16-blocked,7,1000,false,2.662106,2.456103,0.99983395,0.999854,1.799205e-02,801.6
fp32,8,1000,false,3.115703,2.464428,1.00000000,1.000000,1.499958e-06,183.8
acc-fp16,8,1000,false,2.926664,2.465168,0.99991226,0.999843,1.263105e-02,724.8
acc-fp16-pairwise,8,1000,false,3.039046,2.461285,0.99999807,0.999979,1.927360e-03,721.2
acc-bf16,8,1000,false,3.033395,2.468194,0.99499573,0.995505,9.604175e-02,724.8
acc-bf16-pairwise,8,1000,false,2.901142,2.451566,0.99988184,0.999781,1.509358e-02,795.0
acc-bf16-blocked,8,1000,false,2.869533,2.438703,0.99983303,1.000296,1.810179e-02,570.6
