policy,seed,steps,diverged,train_loss,val_loss,mean_cos,mean_gain,mean_rel,seconds
fp32,1,1000,false,2.778075,2.475005,1.00000000,1.000000,1.608559e-06,132.6
acc-fp16,1,1000,false,2.777377,2.497581,0.99989662,0.999868,1.362613e-02,506.3
acc-fp16-pairwise,1,1000,false,2.778701,2.496909,0.99999790,0.999969,2.008570e-03,523.3
acc-bf16,1,1000,false,2.800769,2.520587,0.99383302,0.995836,1.065005e-01,563.8
acc-bf16-pairwise,1,1000,false,2.867719,2.481402,0.99987131,1.000149,1.573367e-02,612.5
acc-bf16-blocked,1,1000,false,2.849426,2.496622,0.99981880,0.999957,1.877436e-02,566.2
fp32,2,1000,false,2.433139,2.430550,1.00000000,1.000000,1.558228e-06,131.8
acc-fp16,2,1000,false,2.516444,2.489139,0.99990841,1.000152,1.295598e-02,514.7
acc-fp16-pairwise,2,1000,false,2.296961,2.453258,0.99999810,0.999996,1.911395e-03,533.6
acc-bf16,2,1000,false,2.358511,2.446522,0.99494754,0.996131,9.694422e-02,492.8
acc-bf16-pairwise,2,1000,false,2.326292,2.432553,0.99987677,0.999749,1.539446e-02,537.6
acc-bf16-blocked,2,1000,false,2.403906,2.462738,0.99983468,0.999867,1.801006e-02,303.1
fp32,3,1000,false,2.557702,2.435234,1.00000000,1.000000,1.580272e-06,57.4
acc-fp16,3,1000,false,2.541727,2.451550,0.99991353,0.999880,1.254511e-02,252.3
acc-fp16-pairwise,3,1000,false,2.546877,2.453882,0.99999785,0.999985,2.018971e-03,266.2
acc-bf16,3,1000,false,2.651780,2.437861,0.99488276,0.994403,9.696817e-02,291.1
acc-bf16-pairwise,3,1000,false,2.512260,2.427213,0.99987906,1.000095,1.525032e-02,333.9
acc-bf16-blocked,3,1000,false,2.659228,2.429846,0.99983659,1.000008,1.787032e-02,291.6
