policy,seed,steps,diverged,train_loss,val_loss,mean_cos,mean_gain,mean_rel,seconds
exact,1,2000,false,1.561817,1.941198,1.00000000,1.000000,0.000000e+00,26.9
fp32,1,2000,false,1.561817,1.941198,1.00000000,1.000000,3.499456e-07,63.9
bf16,1,2000,false,1.563547,1.941455,0.99998979,0.999970,4.512384e-03,75.7
fp8,1,2000,false,1.568421,1.945001,0.99596732,1.002278,9.045782e-02,76.9
fp8-delayed,1,2000,false,1.554061,1.945005,0.99591450,1.002784,9.104106e-02,76.0
fp8-e4m3-grads,1,2000,false,1.585195,1.937921,0.99739076,1.001120,7.235923e-02,74.6
fp8-mx,1,2000,false,1.461944,1.953287,0.98854189,0.898859,1.704779e-01,75.6
fp8-mx-headroom,1,2000,false,1.568398,1.935755,0.99738819,1.001888,7.225269e-02,74.2
fp8-reversed,1,2000,false,1.536689,1.937762,0.99586659,1.001571,9.146347e-02,56.4
fp8-acc-fp16,1,2000,false,1.559401,1.942964,0.99593711,1.002710,9.077525e-02,258.0
fp8-acc-fp16-pairwise,1,2000,false,1.545261,1.945392,0.99587775,1.002191,9.130147e-02,296.4
fp8-acc-bf16,1,2000,false,1.511887,1.942278,0.99557381,1.002600,9.480504e-02,268.0
fp8-acc-bf16-pairwise,1,2000,false,1.541927,1.938937,0.99587726,1.002174,9.149853e-02,311.3
fp8-acc-bf16-blocked,1,2000,false,1.513745,1.937019,0.99583067,1.002778,9.198810e-02,278.2
fp8-acc-bf16-sr,1,2000,false,1.606845,1.938083,0.99541580,1.002858,9.646740e-02,385.7
mxfp4,1,2000,false,1.641877,2.039307,0.91302112,0.708171,4.321872e-01,75.0
mxfp4-headroom,1,1442,true,9.565388,4.611923,0.70539599,0.723594,7.557201e-01,55.3
mxfp4-sr,1,2000,false,2.346617,2.424200,0.78130517,0.551227,6.317290e-01,77.2
exact,2,2000,false,2.258168,1.941791,1.00000000,1.000000,0.000000e+00,37.7
fp32,2,2000,false,2.258168,1.941791,1.00000000,1.000000,3.485250e-07,59.6
bf16,2,2000,false,2.262556,1.941820,0.99999080,1.000016,4.276411e-03,64.7
fp8,2,2000,false,2.326831,1.948281,0.99613791,1.003298,8.857163e-02,64.6
fp8-delayed,2,2000,false,2.259335,1.940614,0.99608855,1.003288,8.919018e-02,66.8
fp8-e4m3-grads,2,2000,false,2.313512,1.946541,0.99747460,1.001862,7.118454e-02,66.5
fp8-mx,2,2000,false,2.345313,1.941282,0.98955784,0.902101,1.633504e-01,69.2
fp8-mx-headroom,2,2000,false,2.266730,1.939144,0.99761465,0.999970,6.900324e-02,79.7
fp8-reversed,2,2000,false,2.304651,1.947139,0.99612025,1.001677,8.865537e-02,58.9
fp8-acc-fp16,2,2000,false,2.299422,1.945593,0.99607112,1.003208,8.937978e-02,288.6
fp8-acc-fp16-pairwise,2,2000,false,2.320350,1.940837,0.99609620,1.002217,8.894066e-02,329.9
fp8-acc-bf16,2,2000,false,2.316624,1.945481,0.99582648,1.004332,9.216328e-02,286.5
fp8-acc-bf16-pairwise,2,2000,false,2.321048,1.948600,0.99601577,1.003059,8.994345e-02,329.6
fp8-acc-bf16-blocked,2,2000,false,2.295920,1.938425,0.99601163,1.003896,9.014714e-02,300.0
fp8-acc-bf16-sr,2,2000,false,2.308937,1.952062,0.99559783,1.003356,9.463792e-02,406.5
mxfp4,2,2000,false,2.341342,2.023626,0.91780370,0.721198,4.214884e-01,71.9
mxfp4-headroom,2,797,true,9.364228,4.130676,0.80715363,0.872088,6.387240e-01,28.5
mxfp4-sr,2,2000,false,2.663238,2.325407,0.78406121,0.552565,6.256287e-01,69.4
exact,3,2000,false,1.779591,1.943447,1.00000000,1.000000,0.000000e+00,39.8
fp32,3,2000,false,1.779591,1.943447,1.00000000,1.000000,3.600390e-07,60.2
bf16,3,2000,false,1.781027,1.943384,0.99999030,1.000051,4.395557e-03,70.3
fp8,3,2000,false,1.803403,1.942895,0.99608659,1.003153,8.910188e-02,72.9
fp8-delayed,3,2000,false,1.800608,1.941027,0.99608937,1.002927,8.916728e-02,82.7
fp8-e4m3-grads,3,2000,false,1.806814,1.951038,0.99747910,1.001031,7.108073e-02,85.1
fp8-mx,3,2000,false,1.852633,1.985319,0.98717506,0.900394,1.764410e-01,79.3
fp8-mx-headroom,3,2000,false,1.788030,1.948008,0.99751724,1.000613,7.049793e-02,87.3
fp8-reversed,3,2000,false,1.753163,1.947213,0.99607660,1.002652,8.909524e-02,67.8
fp8-acc-fp16,3,2000,false,1.766591,1.945495,0.99609109,1.003893,8.934045e-02,289.1
fp8-acc-fp16-pairwise,3,2000,false,1.801819,1.933792,0.99611651,1.004835,8.917258e-02,322.0
fp8-acc-bf16,3,2000,false,1.779836,1.936221,0.99573737,1.003494,9.321202e-02,303.4
fp8-acc-bf16-pairwise,3,2000,false,1.783368,1.949996,0.99610873,1.003659,8.905277e-02,326.7
fp8-acc-bf16-blocked,3,2000,false,1.760993,1.938736,0.99593552,1.003626,9.104884e-02,301.5
fp8-acc-bf16-sr,3,2000,false,1.723752,1.942835,0.99545478,1.002397,9.592219e-02,404.9
mxfp4,3,2000,false,1.917793,2.069783,0.90672257,0.712842,4.409827e-01,78.2
mxfp4-headroom,3,1141,true,10.544816,4.261455,0.78409993,0.826657,6.666377e-01,50.2
mxfp4-sr,3,2000,false,2.728942,2.429859,0.74992428,0.541039,6.614660e-01,60.0
